Código,Name,Faccao,Complexo,Pouco Expressivo
662,Chácara do Tanque,,,
663,Servidão D,,,
664,"Avenida Meriti, nº 4.483",,,
665,Parque Boa Esperança (RA - Pavuna),CV,Chapadao,
666,Vale do Ipê,Milicia,Curicica,
667,27 de Setembro,,,
668,"Rua André Rocha, nº 2.630 B",,,
669,Parque Itambé,,,
670,Parque Nova Maracá,CV,Pavuna,
671,Rua Adalberto Tanajura,,,
672,Rua Tenente Lassance,,,
673,Professora Justina Marques,,,
674,Rua Professor Silva Campos,TCP,Pichuna,t
676,Vila Amaral,,,
677,Vila Nova da Pavuna,,,
678,Quitanda,CV,Chapadao,
679,Batistinha,,,
680,Vila Verde (RA - Campo Grande),,,
681,Nova Esperança (RA - Campo Grande),,,
682,Retiro do Lameirão,,,
683,Vila São Sebastião,,,
684,Rua Sem Nome,,,
685,Recanto dos Motoristas,,,
686,Cabuís (RA - Guaratiba),,,
687,Jardim Guaratiba,,,
688,Loteamento Josué,CV,Cidade de Deus,
689,Castor de Andrade,CV,Vila Kennedy,
690,Retiro das Mangueiras,TCP,Vila Alianca,
691,Alto Kennedy,CV,Vila Kennedy,
692,Vila Jurema 1,,,
693,Parque Nova Cidade de Acari,,,
694,Rua 66 (Cesarão),,,
695,São Gomário,,,
696,Nova Brasília - Três Pontes (RA - Santa Cruz),,,
697,Nova Jersei,,,
698,Colorado,,,
699,1º de Abril,,,
700,"Av. das Américas, Km 37",,,
701,Jardim Luana,,,
702,Vila Abrolhos,,,
703,Rua Bernardo de Vasconcelos e Adjacências,ADA,Vila do Vintem,
704,Travessa Magarça,,,
705,Rua Vale Verde,,,
706,Bairro de São Pedro,,,
707,Santa Clara,,,
708,Ziza,,,
709,Beco do Carcará,,,
710,Saquaçu,,,
711,Jardim Nossa Senhora das Graças,,,
712,Vale dos Eucaliptos,,,
713,Vila Verde (RA - Santa Cruz),,,
714,Pantanal (RA - Santa Cruz),,,
715,Fazenda Cassiana,,,
716,Caminho da União,,,
717,Estrada do Gandu,,,
718,Rua Hélio Correa,,,
719,Vasconcelos,,,
720,Parque das Nogueiras,Milicia,Nogueira,
721,Do Horto,,,
722,"Av. Santa Cruz, nº 3.556",,,
723,Caminho do Borges,,,
724,Prolongamento Senhora,,,
725,Cabuís (RA - Campo Grande),,,
726,29 de Março,,,
727,Nova Conquista (RA - Campo Grande),,,
728,Parque Proletário Vila Esperança,,,
729,Vilar Carioca,,,
730,Caminho do Morro,,,
731,Bairro Fernão Magalhães,,,
732,Beco sem Nome,,,
733,Novo Jardim Maravilha,,,
734,Largo do Corrêa,,,
735,Largo do Corrêa 1,,,
736,Beco do Rato,,,
737,Vitória da Conquista,,,
738,Rua Brício de Moraes,CV,Juramento,
739,Visconde de Sabóia,CV,Juramento,t
740,Morrinho,CV,Faz Quem Quer,t
